时间,操作
2019-12-30 08:25:00,启动水蓄能放热主管
2019-12-30 10:55:00,关闭水蓄能放热主管
2019-12-30 11:05:00,启动A+B直供主管
2019-12-30 11:25:00,启动太阳能工作日直供主管
2019-12-30 15:05:00,关闭太阳能工作日直供主管
2019-12-30 17:00:00,关闭A+B直供主管
2019-12-30 23:00:00,启动A+B水蓄能
2019-12-31 02:55:00,关闭A+B水蓄能
2019-12-31 03:15:00,启动A+B直供主管
2019-12-31 10:00:00,关闭A+B直供主管
2019-12-31 10:15:00,启动水蓄能放热主管
2019-12-31 11:50:00,启动太阳能工作日直供主管
2019-12-31 14:45:00,关闭太阳能工作日直供主管
2019-12-31 15:35:00,关闭水蓄能放热主管
2019-12-31 15:40:00,启动A+B直供主管
2019-12-31 17:20:00,关闭A+B直供主管
2019-12-31 23:00:00,启动A+B水蓄能
2020-01-01 05:00:00,关闭A+B水蓄能
2020-01-01 05:20:00,启动A+B直供主管
2020-01-01 07:50:00,关闭A+B直供主管
2020-01-01 11:05:00,启动A+B直供主管
2020-01-02 06:55:00,关闭A+B直供主管
2020-01-02 07:10:00,启动水蓄能放热主管
2020-01-02 10:55:00,关闭水蓄能放热主管
2020-01-02 11:00:00,启动A+B直供主管
2020-01-02 12:00:00,启动太阳能工作日直供主管
2020-01-02 13:50:00,关闭太阳能工作日直供主管
2020-01-03 10:50:00,关闭A+B直供主管
2020-01-03 11:10:00,启动B直供主管
2020-01-03 13:45:00,启动太阳能工作日直供主管
2020-01-03 14:10:00,关闭太阳能工作日直供主管
2020-01-03 17:15:00,关闭B直供主管
2020-01-03 23:00:00,启动A+B水蓄能
2020-01-04 03:40:00,关闭A+B水蓄能
2020-01-04 04:00:00,关闭A+B直供主管
2020-01-04 14:30:00,关闭A+B直供主管
2020-01-04 23:05:00,启动A+B直供主管
2020-01-05 07:10:00,关闭A+B直供主管
2020-01-05 14:10-15:05,试机
2020-01-05 15:55:00,启动A+B直供主管
2020-01-05 17:50:00,关闭A+B直供主管
2020-01-05 23:00:00,启动A+B直供主管
2020-01-06 06:50:00,关闭A+B直供主管
2020-01-06 07:00:00,启动水蓄能放热主管
2020-01-06 10:55:00,关闭水蓄能放热主管
2020-01-06 11:05:00,启动A+B直供主管
2020-01-06 15:35:00,关闭A+B直供主管
2020-01-06 15:55:00,启动B直供主管
2020-01-06 17:10:00,关闭B直供主管
2020-01-06 23:20:00,启动A+B水蓄能
2020-01-07 03:50:00,关闭A+B水蓄能
2020-01-07 04:10:00,启动A+B直供主管
2020-01-07 06:50:00,关闭A+B直供主管
2020-01-07 07:05:00,启动水蓄能放热主管
2020-01-07 11:15:00,关闭水蓄能放热主管
